SatNAME,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16
LEMUR-2-XIAOQING        ,41871U,16062C,20302.48867025,.00001689,00000-0,75296-4,0,9990,41871,51.6401,342.6924,0.0005623,336.9080,23.1646,15.27255065
LEMUR-2-SOKOLSKY        ,41872U,16062D,20302.40543268,.00003236,00000-0,13304-3,0,9994,41872,51.6855,349.4919,0.0002895,78.1393,281.9911,15.27069009
LEMUR-2-ANUBHAVTHAKUR   ,41873U,16062E,20302.46392982,.00001772,00000-0,86273-4,0,9995,41873,51.6797,5.9349,0.0004871,324.3061,35.7591,15.23846562
LEMUR-2-WINGO           ,41874U,16062F,20302.43720252,.00001819,00000-0,81423-4,0,9992,41874,51.6532,349.0012,0.0010880,247.9992,111.9832,15.26680744
GOKTURK 1A              ,41875U,16073A,20302.72583066,.00000044,00000-0,17846-4,0,9994,41875,98.1352,195.1646,0.0001439,80.0845,280.0519,14.62775799
RESOURCESAT-2A          ,41877U,16074A,20302.74960546,-.00000111,00000-0,-30138-4,0,9997,41877,98.7842,12.1808,0.0000910,90.5447,269.5835,14.21594806
WGS F8 (USA 272)        ,41879U,16075A,20302.74182720,-.00000205,00000-0,00000+0,0,9993,41879,0.0104,290.5603,0.0000057,43.9499,119.9387,1.00271424 
FENGYUN 4A              ,41882U,16077A,20302.56438284,-.00000334,00000-0,00000-0,0,9992,41882,0.1607,285.5019,0.0004008,127.3026,292.3346,1.00275364 
CYGFM05                 ,41884U,16078A,20302.29875650,.00000531,00000-0,29719-4,0,9997,41884,34.9571,314.7084,0.0015525,153.8684,206.2813,15.14718241
CYGFM04                 ,41885U,16078B,20302.28983457,.00000536,00000-0,29539-4,0,9997,41885,34.9501,307.2384,0.0014033,165.5655,194.5459,15.15234762
CYGFM02                 ,41886U,16078C,20302.28280109,.00000548,00000-0,30146-4,0,9991,41886,34.9593,309.1074,0.0014729,161.0380,199.0883,15.15231456
CYGFM01                 ,41887U,16078D,20302.74530399,.00000611,00000-0,34086-4,0,9990,41887,34.9538,313.2766,0.0016020,158.4043,201.7346,15.14530618
CYGFM08                 ,41888U,16078E,20302.70038393,.00000614,00000-0,33826-4,0,9998,41888,34.9506,308.7780,0.0015267,165.8395,194.2747,15.14947971
CYGFM06                 ,41889U,16078F,20302.39392632,.00000552,00000-0,30363-4,0,9997,41889,34.9586,307.1076,0.0013691,162.0971,198.0224,15.15228526
CYGFM07                 ,41890U,16078G,20302.70189056,.00000627,00000-0,34257-4,0,9997,41890,34.9524,304.2252,0.0013521,168.3682,191.7344,15.15227331
CYGFM03                 ,41891U,16078H,20302.43419905,.00000526,00000-0,29050-4,0,9990,41891,34.9558,306.1747,0.0012964,164.6822,195.4284,15.15219760
ECHOSTAR 19             ,41893U,16079A,20302.54903574,-.00000141,00000-0,00000+0,0,9998,41893,0.0193,230.0005,0.0001381,338.7171,289.1654,1.00269102 
ARASE (ERG)             ,41896U,16080A,20301.51476696,.00000126,00000-0,43457-3,0,9998,41896,31.6451,98.8647,0.6999421,242.0944,32.3076,2.53858246 
TANSAT                  ,41898U,16081A,20302.86221320,.00000166,00000-0,47417-4,0,9997,41898,98.2949,243.7463,0.0020943,181.6596,178.4545,14.56784512
YIJIAN                  ,41899U,16081B,20302.85438918,.00000104,00000-0,33730-4,0,9995,41899,98.2896,242.8626,0.0022012,182.3632,177.7471,14.56495687
SPARK 1                 ,41900U,16081C,20302.78754454,.00000103,00000-0,34315-4,0,9995,41900,98.2922,241.4476,0.0025249,183.9605,176.1391,14.55541164
SPARK 2                 ,41901U,16081D,20302.83518116,.00000078,00000-0,28758-4,0,9990,41901,98.2877,240.2126,0.0026596,184.4425,175.6546,14.55216860
JCSAT-15                ,41903U,16082A,20302.76726400,-.00000353,00000-0,00000+0,0,9994,41903,0.0097,267.9189,0.0001272,314.3398,201.6097,1.00271302 
STAR ONE D1             ,41904U,16082B,20302.55156558,-.00000214,00000-0,00000+0,0,9999,41904,0.0204,279.8212,0.0002490,306.7146,285.3926,1.00269832 
SUPERVIEW-1 01          ,41907U,16083A,20302.82146373,.00000928,00000-0,53145-4,0,9991,41907,97.5170,26.0745,0.0016199,129.3342,16.6719,15.14981424
SUPERVIEW-1 02          ,41908U,16083B,20302.85679704,.00000870,00000-0,49999-4,0,9992,41908,97.4384,15.1102,0.0015358,126.6143,8.0349,15.14978183
TJS-2                   ,41911U,17001A,20302.80107660,-.00000344,00000-0,00000+0,0,9991,41911,0.4234,96.0829,0.0003036,302.0598,35.3834,1.00270023 
XINGYUN SHIYAN-1        ,41913U,17002A,20302.77230469,.00001844,00000-0,11055-3,0,9995,41913,97.3841,0.9603,0.0013056,165.4700,291.1745,15.12108356
JILIN-1-03              ,41914U,17002B,20302.73192723,.00000003,00000-0,39072-5,0,9999,41914,97.3770,357.9835,0.0011853,176.5801,300.8249,15.10065041
KAIDUN 1                ,41915U,17002C,20302.72552472,.00000807,00000-0,50901-4,0,9995,41915,97.3819,1.3471,0.0010164,176.3679,301.0118,15.11790914
IRIDIUM 106             ,41917U,17003A,20302.34281687,.00000073,00000-0,19011-4,0,9995,41917,86.4014,228.4021,0.0002032,93.9995,266.1433,14.34218272
IRIDIUM 103             ,41918U,17003B,20302.81850367,.00000072,00000-0,18633-4,0,9993,41918,86.4014,228.1103,0.0001780,76.9520,283.1874,14.34217030
IRIDIUM 109             ,41919U,17003C,20302.26669541,.00000073,00000-0,19059-4,0,9999,41919,86.4015,228.3660,0.0001988,82.5784,277.5637,14.34218977
IRIDIUM 102             ,41920U,17003D,20302.51406000,.00000083,00000-0,22618-4,0,9994,41920,86.4013,228.2305,0.0002221,77.0360,283.1083,14.34218404
